type,citric acid,density,pH,alcohol,quality
red,0,0.99768,3.44,9.4,5
red,0.01,0.99586,3.51,11.3,6
red,0,0.99765,3.41,9.4,5
red,0.02,0.99627,3.54,11,6
red,0.17,0.99514,3.44,10.55,7
red,0.04,0.99636,3.53,9.9,5
red,0.02,0.99627,3.54,11,6
red,0.33,0.99787,3.22,9.5,5
red,0.26,0.99622,3.21,9.9,5
red,0.26,0.99622,3.21,9.9,5
red,0.26,0.99622,3.21,9.9,5
red,0.13,0.99546,3.29,10.1,5
red,0.13,0.99546,3.29,10.1,5
red,0.13,0.99546,3.29,10.1,5
red,0.02,0.99489,3.39,10.9,6
red,0.64,0.99494,3.34,11.2,6
red,0.13,0.99546,3.29,10.1,5
red,0.13,0.99629,3.34,9.2,5
red,0.14,0.99396,3.48,11.5,6
red,0.53,0.9934,3.37,12.4,6
red,0.14,0.99514,3.44,11.1,6
red,0.32,0.99632,3.33,9.5,5
red,0.2,0.99467,3.58,12.5,6
red,0.78,0.99677,3.39,10.5,6
red,0.4,0.99474,3.26,11.8,6
red,0.63,0.99588,3.3,10.8,6
red,0.15,0.99622,3.54,11.9,6
red,0.15,0.9954,3.42,11.3,6
red,0.09,0.99402,3.54,11.3,5
red,0.33,0.9947,3.36,11.9,6
red,0.09,0.99402,3.54,11.3,5
red,0.1,0.99362,3.57,11.9,5
red,0.29,0.99578,3.33,9.8,5
red,0.44,0.99484,3.29,11.6,7
red,0.44,0.99494,3.3,11.5,6
red,0.41,0.99492,3.34,11.4,6
red,0.11,0.99483,3.55,10.9,6
red,0.33,0.99414,3.27,12.8,6
red,0.2,0.9977,3.29,9.2,5
red,0.15,0.99314,3.32,11.6,6
red,0.09,0.99402,3.67,11.6,6
red,0.13,0.99574,3.42,11,6
red,0.08,0.99651,3.42,9.5,6
red,0.08,0.9949,3.45,10.5,5
red,0.1,0.99512,3.52,11.2,6
red,0.13,0.99574,3.42,11,6
red,0.12,0.99547,3.57,10.2,5
red,0.47,0.99549,3.39,11,6
